n_workers,M,G,run,time_s,throughput
1,500,50,0,0.00696220900863409,71816.28695431747
1,500,50,1,0.006924916000571102,72203.04187931879
1,500,50,2,0.00679658298031427,73566.37908316692
1,500,50,3,0.0067378329986240715,74207.83508616267
1,500,50,4,0.006676541990600526,74889.06693074317
